Developer/Publisher Name,Careers Page,Total Jobs,"Administration, Facilities, and Office Management","Accounting, Finance & Tax","Art, Tech Art, Animation, Cinematics & Video",Audio,"Bus. Dev, Corp. Dev., Sales, Strategy, Partnerships, Licensing","Business Intelligence, Data, Analytics","Communications, PR, Policy",Customer & Community Mgmt & Support,"Engineering, Programming & Tech. Writing",Game Design,General App Only,"HR, Talent, Recruiting, Enablement & Sustainability",Internships,"IT, Tech & Security",Legal,Localization / Translation,"Marketing, Brand, Advertising, UA & eSports, Influencer/Social Mgmt","Production, Proj. Mgmt., Bus+Comm Ops, Performance",QA,"User And Player Interface, Experience & Research",Writing & Narrative
Redcatpig,https://www.redcatpig.com/careers/,1,,,,,,,,,,,1,,,,,,,,,,
Reflector Entertainment,https://reflectorentertainment.com/en/careers/,11,,,5,,,,,,2,2,,,,,,,,2,,,
Relic,https://www.relic.com/#careers,3,,,,,,,,,2,,,1,,,,,,,,,
Remedy Entertainment,https://www.remedygames.com/careers/,31,,,13,,,,,,9,3,,,,,,,,2,1,1,2
Resolution Games,https://jobs.resolutiongames.com/jobs,11,,,2,1,,,,,7,,,,1,,,,,,,,
Respawn,https://www.respawn.com/careers-listings,31,,,3,,,,,,7,3,,,16,,,,,,,2,
Retro Studios,https://careers.nintendo.com/retro-studios/#jobs,16,,,11,,,,,,3,,,,,,,,,1,1,,
Reverb Communications,http://reverbinc.com/,1,,,,,,,,,,,1,,,,,,,,,,
Ringtail Interactive,https://jobs.ringtailinteractive.com/jobs,15,,,3,,,,,,10,,,,,,,,,1,,1,
Riot,https://www.riotgames.com/en/work-with-us/jobs,243,1,9,37,1,12,5,6,4,51,15,,6,1,4,,1,36,39,1,13,1
Roblox,https://jobs.roblox.com/careers,200,,2,2,,,9,,2,150,,,3,1,3,2,1,2,15,,7,1
Rockstar,https://www.rockstargames.com/careers/openings,253,1,,63,1,,14,2,3,104,9,,9,,6,,,3,30,4,1,3
Rocksteady Studios,https://rocksteadyltd.com/careers/,16,,,7,1,,,,,4,1,,,,1,,,,2,,,
Rogue Factor,https://rogue-factor.com/careers/,2,,,,,,,,,2,,,,,,,,,,,,
RollDBox Games,https://rolldbox.com/,1,,,,,,,,,1,,,,,,,,,,,,
Romero Games,https://romerogames.com/careers,7,,,4,,,,,,2,1,,,,,,,,,,,
Room 8,https://room8studio.com/careers/,33,,1,23,,,,,,2,1,,,,1,,,,4,,1,
Rovio Entertainment,https://www.rovio.com/open-positions/,50,,,8,,,6,,2,8,9,,3,1,,,,2,6,,4,1
Ruckus Games,https://www.ruckus-games.com/careers/current-openings/,2,,,1,,,,,,1,,,,,,,,,,,,
Saber Interactive Porto,https://www.linkedin.com/company/saber-interactive-porto/jobs/,1,,,,1,,,,,,,,,,,,,,,,,
Sago Mini,https://jobs.sagomini.com/apply,6,,,1,,,,,,2,,,,,,,,,2,,1,
Sandsoft,https://career.sandsoft.com/#section-jobs,10,,,2,,,1,,,2,1,,,,,,,1,2,,1,
Savage Game Studios,https://www.savagegamestudios.com/join-savage,6,,,1,,,,,,3,,,1,,,,,,,,1,
SCE Santa Monica,https://sms.playstation.com/careers,11,1,,3,,,,,,4,1,,,,,,,,2,,,
Schell Games,https://schellgames.com/careers,15,,,5,,,,,,5,1,,,,1,,,1,2,,,
SciPlay,https://www.sciplay.com/careers/,26,1,,4,,,2,,,6,3,,,,,,,1,7,2,,
Second Dinner,https://www.linkedin.com/careersite/seconddinner,7,,,1,,1,1,,,3,,,,,,,,,,1,,
Secret Door,https://www.dreamhaven.com/secretdoor,4,,,1,,,,,,,,,,2,,,,,1,,,
Sega,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=E743DEB45C5896F708643C7D7B581397,31,4,2,,,4,,2,1,,,,2,,2,,1,7,5,1,,
Sega UK,https://careers.sega.co.uk/vacancies,112,2,1,28,2,1,2,2,,50,5,,2,,1,,,1,6,4,5,
Serenity Forge,https://serenityforge.com/careers#job-listings,2,,,,,,,,,1,1,,,,,,,,,,,
Sharkmob,https://career.sharkmob.com/jobs,35,,,12,1,,,,,10,5,,,,1,,,,3,1,,2
Shrapnel Studio,https://www.shrapnel.com/careers,13,,,1,,,,,,7,3,,,,,,,,1,,1,
Singularity 6,https://www.singularity6.com/careers,19,1,,9,,,1,,,7,1,,,,,,,,,,,
Skybox Labs,https://skyboxlabs.com/,33,,,24,,,,,,5,4,,,,,,,,,,,
Slyhook Games,https://skyhookgames.com/game-careers/,6,,,2,,,,,,1,,,,,1,,,,1,,1,
Sledgehammer Games,https://careers.sledgehammergames.com/,50,,,18,,,,,,13,4,,1,1,,,,,7,3,2,1
SMG Studio,https://smgstudio.applytojob.com/apply,9,,,3,,,,,,5,,,,,,,,,1,,,
Smilegate,https://careers.smilegate.com/,316,,4,39,1,19,,1,1,74,29,,14,,,,,4,123,7,,
Smilegate Barcelona,https://www.smilegatebarcelona.com/careers,25,,,7,,,,,,9,3,,3,,,,,,2,1,,
Snowed In Studios,https://apply.workable.com/snowed-in-studios-3/?lng=en,11,,,1,,,,,,9,,,,,,,,,1,,,
Snowprint Studios,https://career.snowprintstudios.com/jobs,7,,,1,,,2,,,1,2,,,,,,,1,,,,
Socialpoint,https://www.socialpoint.es/join-us/careers,26,,,9,,,5,,,2,3,,,,1,,,1,4,,1,
Softgames,https://www.softgames.com/gaming-jobs-in-berlin/,9,,,1,,,,,1,2,,,1,,,,,1,2,1,,
Sony Playstation,https://www.playstation.com/en-us/corporate/playstation-careers/#listings,194,2,1,50,4,,6,,,76,15,,4,,3,3,,8,13,4,3,2
Soul Assembly,https://soulassembly.com/job-openings/,14,,1,7,,,,,,4,1,,1,,,,,,,,,
Splash Damage,https://www.splashdamage.com/careers/,49,,,19,,,,,,13,10,,,,,,,,5,1,1,
Square Enix,https://www.square-enix-games.com/en_US/careers,124,2,5,18,1,12,,5,2,32,13,,,,4,,3,11,11,4,,1
Starbreeze,https://jobs.starbreeze.com/jobs,11,,,1,1,,1,,,5,1,,,,,,,1,1,,,
Stardock,https://www.stardock.com/careers,6,1,,2,,,,,,2,1,,,,,,,,,,,
Starloop,https://starloopstudios.com/career/,6,,,1,,,,,,4,,,,,,,,,1,,,
Starmi,http://starmi.com/careers,15,,,7,,,,,,4,1,,,,,,,1,1,1,,
Statespace Labs,https://jobs.lever.co/statespacelabs,1,,1,,,,,,,,,,,,,,,,,,,
Stoic,https://stoicstudio.com/join-us/,6,,,1,,,,,,3,,,1,,,,,,1,,,
Streamline Games,https://www.streamline-mediagroup.com/careers,59,,2,15,1,1,,,1,9,6,,1,3,2,,2,2,8,3,3,
Striking Distance Studios,http://www.sds.com/careers,8,,,2,1,,,,,4,,,,,1,,,,,,,
Studio Wildcard,http://www.studiowildcard.com/jobs,15,,,10,,,,,,2,,,,,,,,,2,,1,
Sumo Digital,https://www.sumo-digital.com/careers,194,,,82,2,,,1,,77,16,,4,,1,,,2,2,7,,
Supercell,https://supercell.com/en/careers/,30,,,4,,3,4,1,1,11,,,,,,,,3,3,,,
Supermassive,https://www.supermassivegames.com/careers,43,1,,17,2,,,,,11,6,,,,2,,,,4,,,
Survios,https://survios.com/studio/careers/listings/,22,,,4,3,,,,,6,2,,,,,,,2,3,1,,1
Tactics Studios,https://www.tacticstudios.com/careers.php,24,,,9,1,,,,,10,2,,,,,,,,1,1,,
Take 2 Interactive,https://careers.take2games.com/jobs,78,2,6,4,,,5,,,18,2,,10,7,8,3,,2,7,1,1,2
Tangelo Games,https://tangelogames.com/join-us/,11,,,5,,,1,,,5,,,,,,,,,,,,
TapBlaze,https://www.tapblaze.com/career/,6,1,,,,,,,,2,,,,,,,,,2,,,1
Team17,https://www.team17.com/join-us/,13,,,1,,2,,,,4,,,,,,,,1,4,,1,
Techland,https://techland.net/job-offers,69,,,21,,1,,1,,11,13,,3,,2,,,5,8,2,1,1
Technicolor Games,https://www.technicolorgames.com/careers/,17,,,12,,,,,,,,,,,,,,,1,4,,
Tempo Games,https://tempo.rippling-ats.com/,8,,,3,,,,,,1,,,,,,,,1,2,,1,
Ten Square Games,https://tensquaregames.com/career/offers/career/offers/#offers,16,,,1,,,,,1,6,1,,1,,,,,3,2,1,,
Tencent,https://careers.tencent.com/en-us/search.html,1384,14,20,132,4,159,74,4,1,392,58,,32,4,78,14,,24,287,33,45,9
Tequila Works,https://tequilaworks.com/en/employment/,4,,,2,,,,,,1,1,,,,,,,,,,,
Teravision Games,https://teravisiongames.bamboohr.com/jobs/,11,,,3,1,,,,,4,,,1,,,,,,,2,,
Thatgamecompany,https://thatgamecompany.com/careers/,29,,,1,,,2,,3,10,3,,,,2,,,2,3,1,2,
The Bearded Ladies,https://thebeardedladies.se/work/,4,,,,,,,,,2,,,,1,,,,,,,1,
The Breach Studios,https://thebreachstudios.com/careers/,2,,,,,,,,,2,,,,,,,,,,,,
Threaks,https://threaks.com/jobs/,4,,1,1,,,,,,1,,,,,,,,,,1,,
Tilting Point,https://www.tiltingpoint.com/careers,1,,,,,,,,,1,,,,,,,,,,,,
tinyBuild Games,https://www.tinybuild.com/jobs,17,,,5,,,,,2,3,4,,,,,,,1,1,,1,
TLM,https://tlmpartners.com/job-openings/,13,,,4,,,,,,8,1,,,,,,,,,,,
Toca Boca,https://career.tocaboca.com/,2,,,,,,1,,,,,,,,,,,1,,,,
Treyarch,https://careers.treyarch.com/,49,,,17,2,,,,,18,11,,,,,,,,1,,,
Tripwire Interactive,https://boards.greenhouse.io/tripwireinteractive,6,,,3,,,,,,1,1,,,,,,,,1,,,
Turtle Rock Studios,https://turtlerockstudios.com/careers,14,,,5,,,,,,6,1,,,,,,,,2,,,
Ubisoft,https://www.ubisoft.com/en-us/company/careers/search,529,,3,176,5,7,5,1,7,192,71,,4,4,,1,,1,46,,6,
Ultra,https://ultra.io/career,6,,1,,,1,1,,,3,,,,,,,,,,,,
Unbroken Studios,https://unbrokenstudios.com/,4,,,1,,,,,,3,,,,,,,,,,,,
Unity,https://careers.unity.com/,622,1,8,14,,30,15,,10,433,12,,4,16,13,,,6,49,,11,
Valve,https://www.valvesoftware.com/en/,9,,1,1,1,1,1,,,2,1,,,,,,,,1,,,
Versatile Media,https://en.versatile.media/careers/,8,,,3,,,,,,3,,,,,1,,,,1,,,
Vertigo Games,http://vertigo-games.com/jobs,32,,,7,,3,,1,,13,3,,,2,,,,2,1,,,
very very spaceship,https://vvspaceship.website/jobs,2,,,2,,,,,,,,,,,,,,,,,,
Virtuos,https://virtuosgames.avature.net/Careers/SearchJobs,216,,4,98,,7,,,,40,9,,9,4,7,,2,1,33,1,1,
Voodoo,https://www.voodoo.io/careers/jobs/,49,,3,13,,1,4,,,13,,,5,2,,1,,1,5,,1,
Wargaming,https://wargaming.com/en/careers/,193,,6,47,1,,5,,6,64,15,,3,,,2,,14,16,5,8,1
Warhorse,https://warhorsestudios.breezy.hr/,15,,,6,,,,,,6,,,,1,1,,,,,1,,
WB Games,https://careers.wbd.com/wb-games-jobs,108,,,26,,1,,,3,47,12,,,,1,,,,12,,4,2
Whatwapp,https://whatwapp.com/careers/,4,,,,,,1,,,2,,,,,,,,,1,,,
Wildlife Studios,https://careers.wildlifestudios.com/search-jobs/?filter-teams=&filter-locations=,12,,,4,,,,,,6,,,,,,,,1,1,,,
Wizards Of The Coast,https://company.wizards.com/en/careers,56,,1,19,1,1,,,,11,8,,1,,1,,,7,5,,1,
Wolfjaw Studios,https://wolfjawstudios.com/careers/,2,,,,,,,,,2,,,,,,,,,,,,
Wonder Works Studio,https://wonder-works-studio-inc.breezy.hr/,3,,,,,,,,,,1,,,,,,,,2,,,
Wooga,https://www.wooga.com/jobs,6,,1,,,,,,,3,1,,,,,,,,1,,,
XR Games,https://www.xrgames.io/careers,11,1,,4,,,,,,3,,,1,,,,,1,1,,,
YAGER,https://www.yager.de/#openpositions,9,,,3,,,,,,5,1,,,,,,,,,,,
Yellow Brick Games,https://yellowbrickgames.ca/jobs/,4,,,1,,,,,,2,,,,,,,,,1,,,
Yodo1 Games,https://www.yodo1.com/careers,6,,,,,2,,,,,,,,,,,,2,2,,,
Zenimax,https://jobs.zenimax.com/jobs?department=&located=&location=,207,1,2,40,1,,1,1,3,91,19,,2,,6,,3,2,26,5,3,1
Zeptolab,https://www.zeptolab.com/careers,8,,,,,1,2,,,,,,,,,,,2,2,,,1
ZiMAD,https://zimad.com/vacancies,2,,,,,1,,,,,1,,,,,,,,,,,
Zynga,https://www.zynga.com/jobs/job-openings/,102,2,,19,,2,5,,,31,6,,1,6,4,,,2,16,3,5,
